[2024-08-16T07:10:45Z INFO  skylords_rebot::game_info] Found power slot EntityId(2623) at Position2D { x: 169.35567, y: 37.71217 }
[2024-08-16T07:10:45Z INFO  skylords_rebot::game_info] Found power slot EntityId(2624) at Position2D { x: 185.02084, y: 37.60539 }
[2024-08-16T07:10:45Z INFO  skylords_rebot::game_info] Found power slot EntityId(2625) at Position2D { x: 114.183, y: 98.97056 }
[2024-08-16T07:10:45Z INFO  skylords_rebot::game_info] Found power slot EntityId(2626) at Position2D { x: 120.78301, y: 98.97056 }
[2024-08-16T07:10:45Z INFO  skylords_rebot::game_info] Found power slot EntityId(2627) at Position2D { x: 182.99454, y: 117.625984 }
[2024-08-16T07:10:45Z INFO  skylords_rebot::game_info] Found power slot EntityId(2628) at Position2D { x: 170.42061, y: 117.62589 }
[2024-08-16T07:10:45Z INFO  skylords_rebot::game_info] Found power slot EntityId(2629) at Position2D { x: 172.74492, y: 169.98474 }
[2024-08-16T07:10:45Z INFO  skylords_rebot::game_info] Found power slot EntityId(2630) at Position2D { x: 180.30853, y: 185.29858 }
[2024-08-16T07:10:45Z INFO  skylords_rebot::game_info] Found power slot EntityId(2631) at Position2D { x: 184.6759, y: 181.14935 }
[2024-08-16T07:10:45Z INFO  skylords_rebot::game_info] Found power slot EntityId(2632) at Position2D { x: 168.40605, y: 174.49603 }
[2024-08-16T07:10:45Z INFO  skylords_rebot::game_info] Found power slot EntityId(2633) at Position2D { x: 169.4, y: 237.1595 }
[2024-08-16T07:10:45Z INFO  skylords_rebot::game_info] Found power slot EntityId(2634) at Position2D { x: 183.4, y: 237.1595 }
[2024-08-16T07:10:45Z INFO  skylords_rebot::game_info] Found power slot EntityId(2635) at Position2D { x: 233.54659, y: 254.29355 }
[2024-08-16T07:10:45Z INFO  skylords_rebot::game_info] Found power slot EntityId(2636) at Position2D { x: 239.8502, y: 254.33868 }
[2024-08-16T07:10:45Z INFO  skylords_rebot::game_info] Found power slot EntityId(2637) at Position2D { x: 69.05, y: 181.31488 }
[2024-08-16T07:10:45Z INFO  skylords_rebot::game_info] Found power slot EntityId(2638) at Position2D { x: 75.434, y: 181.315 }
[2024-08-16T07:10:45Z INFO  skylords_rebot::game_info] Found power slot EntityId(2639) at Position2D { x: 296.37576, y: 176.02464 }
[2024-08-16T07:10:45Z INFO  skylords_rebot::game_info] Found power slot EntityId(2640) at Position2D { x: 289.29202, y: 176.02464 }
[2024-08-16T07:10:45Z INFO  skylords_rebot::game_info] Found power slot EntityId(2641) at Position2D { x: 169.4518, y: 317.31332 }
[2024-08-16T07:10:45Z INFO  skylords_rebot::game_info] Found power slot EntityId(2642) at Position2D { x: 183.4518, y: 317.31332 }
[2024-08-16T07:10:45Z INFO  skylords_rebot::game_info] Found power slot EntityId(2643) at Position2D { x: 106.23168, y: 267.45325 }
[2024-08-16T07:10:45Z INFO  skylords_rebot::game_info] Found power slot EntityId(2644) at Position2D { x: 245.30684, y: 87.248436 }
[2024-08-16T07:10:45Z INFO  skylords_rebot::game_info] Found token slot EntityId(2645) at Position2D { x: 177.34, y: 37.702557 }
[2024-08-16T07:10:45Z INFO  skylords_rebot::game_info] Found token slot EntityId(2646) at Position2D { x: 238.3221, y: 93.76264 }
[2024-08-16T07:10:45Z INFO  skylords_rebot::game_info] Found token slot EntityId(2647) at Position2D { x: 176.4, y: 177.8 }
[2024-08-16T07:10:45Z INFO  skylords_rebot::game_info] Found token slot EntityId(2648) at Position2D { x: 176.67712, y: 116.7765 }
[2024-08-16T07:10:45Z INFO  skylords_rebot::game_info] Found token slot EntityId(2649) at Position2D { x: 176.4, y: 238.6631 }
[2024-08-16T07:10:45Z INFO  skylords_rebot::game_info] Found token slot EntityId(2650) at Position2D { x: 113.50901, y: 261.2001 }
[2024-08-16T07:10:45Z INFO  skylords_rebot::game_info] Found token slot EntityId(2651) at Position2D { x: 176.4518, y: 317.31332 }
[2024-08-16T07:10:45Z INFO  skylords_rebot::game_info] Found token slot EntityId(2652) at Position2D { x: 72.055, y: 176.0 }
[2024-08-16T07:10:45Z INFO  skylords_rebot::game_info] Found token slot EntityId(2653) at Position2D { x: 292.79623, y: 181.02464 }
